,결과,득점_득점,공격종합성공률,후위성공률,퀵오픈성공률,서브성공률,디그성공률,세트성공률,리시브성공률,블로킹성공률,팀명_KB손해보험,팀명_OK금융그룹,팀명_대한항공,팀명_삼성화재,팀명_우리카드,팀명_한국전력,팀명_현대캐피탈,상대팀_KB손해보험,상대팀_OK금융그룹,상대팀_대한항공,상대팀_삼성화재,상대팀_우리카드,상대팀_한국전력,상대팀_현대캐피탈
1152,0,59,0.46464646464646464,0.5185185185185185,0.7058823529411765,0.047619047619047616,0.7735849056603774,0.4117647058823529,0.38666666666666666,0.16666666666666666,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1153,1,53,0.660377358490566,0.6470588235294118,0.7777777777777778,0.05405405405405406,0.7419354838709677,0.6481481481481481,0.5945945945945946,0.35,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1154,1,71,0.5294117647058824,0.47619047619047616,0.5,0.07291666666666667,0.7045454545454546,0.4716981132075472,0.5131578947368421,0.19230769230769232,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1155,0,65,0.4666666666666667,0.35714285714285715,0.5,0.06451612903225806,0.7631578947368421,0.4444444444444444,0.5675675675675675,0.17857142857142858,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1156,1,50,0.5522388059701493,0.42105263157894735,0.625,0.08450704225352113,0.85,0.52,0.5,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1157,1,76,0.4426229508196721,0.52,0.47058823529411764,0.11224489795918367,0.7894736842105263,0.4166666666666667,0.45977011494252873,0.16666666666666666,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1158,1,73,0.4473684210526316,0.4838709677419355,0.5714285714285714,0.08849557522123894,0.8837209302325582,0.4158415841584158,0.4666666666666667,0.18181818181818182,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1159,1,73,0.4891304347826087,0.37037037037037035,0.6363636363636364,0.08080808080808081,0.6521739130434783,0.4444444444444444,0.4057971014492754,0.37037037037037035,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1160,1,64,0.4897959183673469,0.5454545454545454,0.5714285714285714,0.1348314606741573,0.72,0.4125,0.6071428571428571,0.0975609756097561,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1161,0,37,0.42857142857142855,0.42105263157894735,0.5454545454545454,0.043478260869565216,0.7241379310344828,0.34146341463414637,0.4444444444444444,0.17857142857142858,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1162,1,56,0.5540540540540541,0.7142857142857143,0.7692307692307693,0.09859154929577464,0.7380952380952381,0.5256410256410257,0.5,0.25,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1163,0,71,0.5327102803738317,0.6666666666666666,0.64,0.04597701149425287,0.6458333333333334,0.5050505050505051,0.47191011235955055,0.25,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1164,0,45,0.45454545454545453,0.4166666666666667,0.5217391304347826,0.08928571428571429,0.6470588235294118,0.421875,0.578125,0.20833333333333334,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1165,0,67,0.5773195876288659,0.64,0.6470588235294118,0.06741573033707865,0.6458333333333334,0.5604395604395604,0.49382716049382713,0.11904761904761904,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1166,1,53,0.6119402985074627,0.5294117647058824,0.6842105263157895,0.08,0.7297297297297297,0.5714285714285714,0.4528301886792453,0.20689655172413793,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1167,0,40,0.4246575342465753,0.4090909090909091,0.4666666666666667,0.04,0.7741935483870968,0.38,0.5,0.2916666666666667,0,0,0,0,0,0,1,0,0,1,0,0,0,0
